min,clade,fossil
250.1,stem Chondrostei 1,Birgeria groenlandica
193.81,stem Chondrostei 2,Chondrosteus acipenseroides
129.3,stem Chondrostei 3,Peipiaosteus pani
251.2,stem Halecomorphi 1,Watsonulus
244.7,stem gar 1,Luoxiongichthys/Sangiorgioichthys
180.36,stem Ginglymodi 2,Lepidotes
144.2,stem Ginglymodi 3,Isanichthys
113,stem Ginglymodi 4,Pliodetes/Araripelepidotes
113,stem Ginglymodi 5,Dentilepisosteus/Obaichthys
251.2,stem Halecomorphi 1,Watsonulus eugnathoides
236,stem Teleostei 1,Prohalecites porroi
221,stem Teleostei 2,Knerichthys bronni
193.81,stem Teleostei 3,Dorsetichthys bechei
181.7,stem Teleostei 4,Leptolepis coryphaenoides
166.1,stem Teleostei 5,Occithrissops willsoni
