order,family,genus,genus.species
Acipenseriformes,Acipenseridae,Acipenser,Acipenser baerii
Acipenseriformes,Acipenseridae,Acipenser,Acipenser brevirostrum
Acipenseriformes,Acipenseridae,Acipenser,Acipenser dabryanus
Acipenseriformes,Acipenseridae,Acipenser,Acipenser fulvescens
Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii
Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris
Acipenseriformes,Acipenseridae,Acipenser,Acipenser mikadoi
Acipenseriformes,Acipenseridae,Acipenser,Acipenser naccarii
Acipenseriformes,Acipenseridae,Acipenser,Acipenser nudiventris
Acipenseriformes,Acipenseridae,Acipenser,Acipenser oxyrinchus
Acipenseriformes,Acipenseridae,Acipenser,Acipenser persicus
Acipenseriformes,Acipenseridae,Acipenser,Acipenser ruthenus
Acipenseriformes,Acipenseridae,Acipenser,Acipenser schrenckii
Acipenseriformes,Acipenseridae,Acipenser,Acipenser sinensis
Acipenseriformes,Acipenseridae,Acipenser,Acipenser stellatus
Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio
Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus
Acipenseriformes,Acipenseridae,Huso,Huso dauricus
Acipenseriformes,Acipenseridae,Huso,Huso huso
Acipenseriformes,Acipenseridae,Pseudoscaphirhynchus,Pseudoscaphirhynchus fedtschenkoi
Acipenseriformes,Acipenseridae,Pseudoscaphirhynchus,Pseudoscaphirhynchus hermanni
Acipenseriformes,Acipenseridae,Pseudoscaphirhynchus,Pseudoscaphirhynchus kaufmanni
Acipenseriformes,Acipenseridae,Scaphirhynchus,Scaphirhynchus albus
Acipenseriformes,Acipenseridae,Scaphirhynchus,Scaphirhynchus platorynchus
Acipenseriformes,Acipenseridae,Scaphirhynchus,Scaphirhynchus suttkusi
Acipenseriformes,Polyodontidae,Polyodon,Polyodon spathula
Acipenseriformes,Polyodontidae,Psephurus,Psephurus gladius
Amiiformes,Amiidae,Amia,Amia calva
Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula
Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus tristoechus
Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus tropicus
Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus oculatus
Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus osseus
Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus platostomus
Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus platyrhincus
Albuliformes,Albulidae,Albula,Albula argentea
Albuliformes,Albulidae,Albula,Albula esuncula
Albuliformes,Albulidae,Albula,Albula gilberti
Albuliformes,Albulidae,Albula,Albula glossodonta
Albuliformes,Albulidae,Albula,Albula koreana
Albuliformes,Albulidae,Albula,Albula nemoptera
Albuliformes,Albulidae,Albula,Albula oligolepis
Albuliformes,Albulidae,Albula,Albula virgata
Albuliformes,Albulidae,Albula,Albula vulpes
Albuliformes,Albulidae,Pterothrissus,Pterothrissus belloci
Albuliformes,Albulidae,Pterothrissus,Pterothrissus gissu
Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla
Anguilliformes,Anguillidae,Anguilla,Anguilla australis australis
Anguilliformes,Anguillidae,Anguilla,Anguilla australis schmidtii
Anguilliformes,Anguillidae,Anguilla,Anguilla bengalensis bengalensis
Anguilliformes,Anguillidae,Anguilla,Anguilla bengalensis labiata
Anguilliformes,Anguillidae,Anguilla,Anguilla bicolor bicolor
Anguilliformes,Anguillidae,Anguilla,Anguilla bicolor pacifica
Anguilliformes,Anguillidae,Anguilla,Anguilla breviceps
Anguilliformes,Anguillidae,Anguilla,Anguilla celebesensis
Anguilliformes,Anguillidae,Anguilla,Anguilla dieffenbachii
Anguilliformes,Anguillidae,Anguilla,Anguilla interioris
Anguilliformes,Anguillidae,Anguilla,Anguilla japonica
Anguilliformes,Anguillidae,Anguilla,Anguilla luzonensis
Anguilliformes,Anguillidae,Anguilla,Anguilla malgumora
Anguilliformes,Anguillidae,Anguilla,Anguilla marmorata
Anguilliformes,Anguillidae,Anguilla,Anguilla megastoma
Anguilliformes,Anguillidae,Anguilla,Anguilla mossambica
Anguilliformes,Anguillidae,Anguilla,Anguilla nebulosa
Anguilliformes,Anguillidae,Anguilla,Anguilla nigricans
Anguilliformes,Anguillidae,Anguilla,Anguilla obscura
Anguilliformes,Anguillidae,Anguilla,Anguilla reinhardtii
