group,left,right,min,max,node,clade_pretty,fossil,authority,locality,outgroup_sequence,age_authority
subset_of_Polypterus,Polypterus_bichir,Polypterus_senegalus,7,,10,subset of Polypterus,Polypterus faraou,Otero et al. (2006),"Toros-Menalla, Chad","subset of Polypterus	Crown Holostei",Otero et al. (2006)
Crown_Chondrostei,Polyodon_spathula,Acipenser_transmontanus,120.8,233.770971,34,Crown Chondrostei,Protopsephurus luii,See Benton et al. (2015),"Yixian Formation, China","Crown Chondrostei	stem Chondrostei 3	stem Chondrostei 2	stem Chondrostei 1","See argumentation in Benton et al. (2015), calibration 26"
Crown_Polyodontidae,Polyodon_spathula,Psephurus_gladius,63.1,177.6873874,35,Crown Polyodontidae,Polyodon tuberculata,Grande & Bemis (1991); Puercan NALMA date from GTS2012,"Tullock Formation, Montana, USA","Crown Polyodontidae	Crown Chondrostei	stem Chondrostei 3	stem Chondrostei 2	stem Chondrostei 1","Puercan NALMA, age estimate derived from Gradstein et al. (2012)"
Crown_Holostei,Amia_calva,Lepisosteus_osseus,251.2,,82,Crown Holostei,Watsonulus eugnathoides,See Benton et al. (2015),See Benton et al. (2015),Crown Holostei,"See argumentation in Benton et al. (2015), calibration 27"
Crown_Teleostei,Elops_saurus,Hiodon_alosoides,151.2,192.7827828,97,Crown Teleostei,Anaethalion zapporum,See Benton et al. (2015),See Benton et al. (2015),"Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 30"
Elopiformes,Elops_saurus,Megalops_atlanticus,126,157.951952,99,Elopiformes,Arratiaelops vectensis,Taverne (1999),"Bernissart, Belgium","Elopiformes	Albuliformes + Anguilliformes	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Late Barremian-early Aptian based on Yans et al. (2012), date derived from Gradstein et al. (2012)"
Crown_Lepisosteidae,Lepisosteus_osseus,Atractosteus_spatula,93.9,145.3747748,99,Crown Lepisosteidae,Atractosteus falipoui,See Benton et al. (2015),See Benton et al. (2015),"Crown Lepisosteidae	stem Ginglymodi 4	stem Ginglymodi 5	stem Ginglymodi 3	stem Ginglymodi 2	stem gar 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 29"
Albuliformes___Anguilliformes,Albula_vulpes,Anguilla_anguilla,129.4,173.6324324,110,Albuliformes + Anguilliformes,Baugeichthys caeruleus,Filleul (2000),"Massif de Bauges, France","Albuliformes + Anguilliformes	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Filleul (2000)
Total_group_Angullidae,Serrivomer_sector,Anguilla_anguilla,47,120.6096096,171,Total group Angullidae,Anguilla ignota,Saninti et al. (2013),"Messel, Germany","Total group Angullidae	Total group Echelus	Albuliformes + Anguilliformes	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Franzen (2005)
Total_group_Serrivomer,Stemonidium_hypomelas,Serrivomer_sector,12.62,87.40580581,178,Total group Serrivomer,Serrivomer sp.,Carenvale (2007),"Torricella Peligna, Italy","Total group Serrivomer	Total group Angullidae	Total group Echelus	Albuliformes + Anguilliformes	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Carnevale (2007)
Total_group_Echelus,Echelus_myrus,Ophichthus_altipennis,53.7,148.6225225,485,Total group Echelus,Echelus branchialis,"Santini et al. (2013), Young (1993), Young & Williams (2008)","London Clay (Division B2), Aveley Quarry, UK","Total group Echelus	Albuliformes + Anguilliformes	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","NP11 based on Friedman et al. (2016), age estimate derived from Gradstein et al. (2012)"
Total_group_Osteoglossidae,Arapaima_gigas,Notopterus_notopterus,107,159.7017017,540,Total group Osteoglossidae,Paralycoptera wui,Xu & Chang (2009),"Guantou Formation, China","Total group Osteoglossidae	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Li et al. (2011, 2013)"
Crown_Osteoglossidae,Heterotis_niloticus,Osteoglossum_bicirrhosum,58.551,138.1206557,541,Crown Osteoglossidae,Joffrichthys symmetropterus,"Li et Wilson 1996 JVP, Li etal 1997a, Li et Wilson 1999, Hilton 2003 and Wilson and Murray 2009.",Paskapoo Formation at Joffre Bridge,"Crown Osteoglossidae	Total group Osteoglossidae	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Magnetic polarity chron C26 encompassing Ti 3 and Ti4 of Tiffanian NALMA, age estimate derived from Gradstein et al. (2012)"
_Mormyridae___Gymnarchidae__vs_Notopteridae,Myomyrus_macrops,Notopterus_notopterus,93.9,142.6832833,554,(Mormyridae + Gymnarchidae) vs Notopteridae,Palaeonotopterus greenwoodi,Forey & Cavin (2001); see Benton et al. (2015) for age assessement,"Kem-Kem, Morocco","(Mormyridae + Gymnarchidae) vs Notopteridae	Total group Osteoglossidae	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 29; specimen derives from same geological unit"
Total_group_Euteleostei,Pseudochondrostoma_polylepis,Lepidogalaxias_salamandroides,150.94,177.4772372,733,Total group Euteleostei,Leptolepides haerteisi,Benton et al. (2015),"Solnhofen Formation, Germany","Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 34"
Crown_Otomorpha,Denticeps_clupeoides,Gonorynchus_greyi,150.94,167.1416817,778,Crown Otomorpha,Tischlingerichthys viohli,Benton et al. (2015),"Solnhofen Formation, Germany","Total group Euteleostei	Crown Otomorpha	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 32"
Total_group_Spratteloidini,Chirocentrus_sp,Spratelloides_gracilis,49,124.5135135,782,Total group Spratteloidini,Trollichthys bolcensis,Maramma & Carnevale (2015),"Bolca, Italy","Crown Engraulidae	Total group Spratteloidini	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Crown_Engraulidae,Coilia_grayii,Engraulis_anchoita,49,150.4474474,796,Crown Engraulidae,Eoengraulis fasoloi,Maramma & Carnevale (2016),"Bolca, Italy","Crown Engraulidae	Total group Euteleostei	Crown Otomorpha	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Crown_Dorosoma,Dorosoma_petenense,Dorosoma_anale,1.8,117.5297297,1037,Crown Dorosoma,Dorosoma petenense,Miller (1981),"Gatuna Formation, New Mexico","Crown Dorosoma	Crown Engraulidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Blacan/Irivingtonian NALMA, age estimate derived from Gradstein et al. (2012)"
