treeTaxon,fishbase
Pseudoxiphophorus_bimaculatus,Heterandria_bimaculata
Pseudoxiphophorus_jonesii,Heterandria_jonesii
Cyprinodon_nevadensis_nevadensis,Cyprinodon_nevadensis
Cyprinodon_salinus_salinus,Cyprinodon_salinus
Fundulus_heteroclitus_heteroclitus,Fundulus_heteroclitus
Fundulus_diaphanus_diaphanus,Fundulus_diaphanus
Ophthalmolebias_bokermanni,Simpsonichthys_bokermanni
Ophthalmolebias_constanciae,Simpsonichthys_constanciae
Aphyosemion_pascheni_pascheni,Aphyosemion_pascheni
Aphyosemion_gabunense_gabunense,Aphyosemion_gabunense
Fundulopanchax_gardneri_gardneri,Fundulopanchax_gardneri
Epiplatys_sexfasciatus_sexfasciatus,Epiplatys_sexfasciatus
Oxyporhamphus_micropterus_micropterus,Oxyporhamphus_micropterus
Oxyporhamphus_micropterus_similis,Oxyporhamphus_similis
Scomberesox_saurus_saurus,Scomberesox_saurus
Tylosurus_crocodilus_crocodilus,Tylosurus_crocodilus
Craterocephalus_stercusmuscarum_fulvus,Craterocephalus_fulvus
Craterocephalus_stercusmuscarum_stercusmuscarum,Craterocephalus_stercusmuscarum
Menidia_estor,Chirostoma_estor
Coptodon_bythobathes,Coptodon_bythobates
Coptodon_cameruensis,Coptodon_camerunensis
Herichthys_labridens,Nosferatu_labridens
Herichthys_bartoni,Nosferatu_bartoni
Herichthys_steindachneri,Nosferatu_steindachneri
Herichthys_pantostictus,Nosferatu_pantostictus
Nandopsis_salvini,Trichromis_salvini
Diplecogaster_bimaculata_bimaculata,Diplecogaster_bimaculata
Channa_argus_argus,Channa_argus
Elacatinus_dilepis,Tigrigobius_dilepis
Elacatinus_pallens,Tigrigobius_pallens
Tigrigobius_inornatus,Tigrigobius_digueti
Elacatinus_limbaughi,Tigrigobius_limbaughi
Coryphopterus_humeralis,Fusigobius_humeralis
Mugilogobius_parvus,Mugilogobius_cavifrons
Synechogobius_hasta,Acanthogobius_hasta
Apogon_affinis,Paroncheilus_affinis
Apogon_striatus,Jaydia_striata
Apogon_truncatus,Jaydia_truncata
Apogon_carinatus,Jaydia_carinatus
Apogon_ellioti,Jaydia_ellioti
Apogon_lineatus,Jaydia_lineata
Apogon_natalensis,Lepidamia_natalensis
Apogon_semilineatus,Ostorhinchus_semilineatus
Apogon_leslie,Ostorhinchus_leslie
Apogon_doederleini,Ostorhinchus_doederleini
Archamia_biguttata,Taeniamia_biguttata
Archamia_fucata,Taeniamia_fucata
Apogon_hyalosoma,Yarica_hyalosoma
Rhabdamia_cypselurus,Verulux_cypselurus
Ostorhinchus_lateralis,Fibramia_lateralis
Apogon_queketti,Jaydia_queketti
Apogon_smithi,Jaydia_smithi
Synchiropus_ocellatus,Neosynchiropus_ocellatus
Auxis_thazard_thazard,Auxis_thazard
Auxis_rochei_rochei,Auxis_rochei
Sarda_chiliensis_chiliensis,Sarda_chiliensis
Megalocottus_platycephalus_platycephalus,Megalocottus_platycephalus
Megalocottus_platycephalus_taeniopterus,Megalocottus_taeniopterus
Ulcina_olrikii,Aspidophoroides_olrikii
Liparis_liparis_liparis,Liparis_liparis
Neomerinthe_rotunda,Neomerinthe_erostris
Platycephalus_longispinis,Platycephalus_grandispinis
Lepidonotothen_nudifrons,Lindbergichthys_nudifrons
Lepidonotothen_larseni,Nototheniops_larseni
Etheostoma_sanguifluum,Nothonotus_sanguifluus
Etheostoma_microlepidus,Nothonotus_microlepidus
Etheostoma_aquali,Nothonotus_aquali
Kyphosus_azurea,Kyphosus_azureus
Pseudopentaceros_wheeleri,Pentaceros_wheeleri
Pseudopentaceros_richardsoni,Pentaceros_richardsoni
Astroscopus_y_graecum,Astroscopus_y-graecum
Xenistius_californiensis,Haemulon_californiensis
Centropyge_flavicauda,Centropyge_fisheri
Leiognathus_lineolatus,Equulites_lineolatus
Diplodus_cervinus_cervinus,Diplodus_cervinus
Acanthopagrus_schlegelii_schlegelii,Acanthopagrus_schlegelii
Evynnis_tumifrons,Dentex_tumifrons
Chrysophrys_auratus,Pagrus_auratus
Chrysophrys_major,Pagrus_major
Bairdiella_sanctaeluciae,Corvula_sanctaeluciae
Tetraodon_abei,Pao_abei
Tetraodon_baileyi,Pao_baileyi
Monotrete_leiurus,Pao_leiurus
Tetraodon_cambodgiensis,Pao_cambodgiensis
Tetraodon_turgidus,Pao_turgidus
Tetraodon_suvattii,Pao_suvattii
Monotrete_cochinchinensis,Pao_cochinchinensis
Tetraodon_palembangensis,Pao_palembangensis
Sphoeroides_cheesemanii,Lagocephalus_cheesemanii
Lagocephalus_lagocephalus_lagocephalus,Lagocephalus_lagocephalus
Tetrosomus_fornasini,Lactoria_fornasini
Sagittalarva_inornata,Sagittalarva_inornatus
Carapus_boraborensis,Encheliophis_boraborensis
Scopelogadus_mizolepis_mizolepis,Scopelogadus_mizolepis
Scopelogadus_mizolepis_bispinosus,Scopelogadus_bispinosus
Hoplostethus_mediterraneus_mediterraneus,Hoplostethus_mediterraneus
Hymenocephalus_striatissimus_striatissimus,Hymenocephalus_striatissimus
Lampadena_urophaos_urophaos,Lampadena_urophaos
Lestidiops_jayakari_jayakari,Lestidiops_jayakari
Gonostoma_elongatum,Sigmops_elongatus
Osmerus_mordax_dentex,Osmerus_dentex
Osmerus_mordax_mordax,Osmerus_mordax
Hucho_perryi,Parahucho_perryi
Thymallus_grubii_flavomaculatus,Thymallus_flavomaculatus
Thymallus_grubii_grubii,Thymallus_grubii
Rutilus_aula,Leucos_aula
Acanthalburnus_microlepis,Acanthobrama_microlepis
Petroleuciscus_persidis,Acanthobrama_persidis
Acanthobrama_mirabilis,Vimba_mirabilis
Aspius_vorax,Leuciscus_vorax
Phoxinus_neogaeus,Chrosomus_neogaeus
